Order_ID,City,Product,Product_Category,Units_Sold,Unit_Price,Unit_Cost
30000,New York,Electric Kettle,Kitchen Appliances,142,44.99,28.50
30001,Los Angeles,Air Fryer XL,Kitchen Appliances,68,129.99,84.50
30002,Chicago,Blender Pro 500,Kitchen Appliances,88,89.50,58.20
30003,Houston,Nonstick Cookware Set,Kitchen Appliances,42,159.00,105.00
30004,Phoenix,Rice Cooker 1.8L,Kitchen Appliances,94,55.00,36.30
30005,Philadelphia,Wireless Earbuds,Electronics,112,79.99,51.20
30006,San Antonio,Noise Cancelling Headphones,Electronics,54,199.00,135.00
30007,San Diego,Smartphone Power Bank,Electronics,165,34.50,21.40
30008,Dallas,LED Desk Lamp,Electronics,108,24.95,15.20
30009,San Jose,Smart Home Plug,Electronics,195,19.99,11.60
30010,Austin,Laundry Detergent 5L,Household Essentials,385,18.99,10.45
30011,Jacksonville,Paper Towel 12-Pack,Household Essentials,412,22.50,12.80
30012,San Francisco,Dish Soap 1L,Household Essentials,480,8.50,4.25
30013,Columbus,All-Purpose Cleaner Spray,Household Essentials,395,6.99,3.50
30014,Indianapolis,Trash Bags Heavy Duty,Household Essentials,310,14.95,8.20
30015,Fort Worth,Lipstick Matte Rose,Beauty,445,18.00,9.15
30016,Charlotte,Vitamin C Face Serum,Beauty,325,32.00,17.40
30017,Seattle,Hair Dryer Ionic,Beauty,115,65.00,42.25
30018,Denver,Moisturizing Face Cream,Beauty,288,28.50,15.40
30019,El Paso,Shampoo Repair Care,Beauty,340,15.99,8.75
30020,Washington,Electric Scooter,Transport,12,499.00,345.00
30021,Boston,Bike Helmet Urban,Transport,48,59.95,38.50
30022,Nashville,Car Dash Camera,Transport,32,110.00,74.20
30023,Detroit,Portable Tire Inflator,Transport,55,45.00,29.25
30024,Oklahoma City,Electric Kettle,Kitchen Appliances,128,45.50,29.10
30025,Portland,Air Fryer XL,Kitchen Appliances,72,128.50,85.00
30026,Las Vegas,Blender Pro 500,Kitchen Appliances,105,89.99,59.50
30027,Memphis,Nonstick Cookware Set,Kitchen Appliances,38,162.00,110.00
30028,Louisville,Rice Cooker 1.8L,Kitchen Appliances,82,54.00,34.50
30029,Baltimore,Wireless Earbuds,Electronics,135,78.50,52.00
30030,Milwaukee,Noise Cancelling Headphones,Electronics,62,195.00,128.00
30031,Albuquerque,Smartphone Power Bank,Electronics,182,35.00,22.10
30032,Tucson,LED Desk Lamp,Electronics,115,25.50,16.20
30033,Fresno,Smart Home Plug,Electronics,210,18.50,11.40
30034,Sacramento,Laundry Detergent 5L,Household Essentials,405,19.50,11.20
30035,Kansas City,Paper Towel 12-Pack,Household Essentials,425,21.99,12.50
30036,Mesa,Dish Soap 1L,Household Essentials,475,8.25,4.35
30037,Atlanta,All-Purpose Cleaner Spray,Household Essentials,415,7.50,3.90
30038,Omaha,Trash Bags Heavy Duty,Household Essentials,355,15.25,9.10
30039,Colorado Springs,Lipstick Matte Rose,Beauty,410,17.50,8.80
30040,Raleigh,Vitamin C Face Serum,Beauty,315,31.50,18.20
30041,Long Beach,Hair Dryer Ionic,Beauty,95,68.00,44.50
30042,Virginia Beach,Moisturizing Face Cream,Beauty,295,29.00,16.50
30043,Miami,Shampoo Repair Care,Beauty,365,16.50,9.20
30044,Oakland,Electric Scooter,Transport,15,485.00,320.00
30045,Minneapolis,Bike Helmet Urban,Transport,42,62.00,41.00
30046,Tulsa,Car Dash Camera,Transport,38,115.00,78.50
30047,Arlington,Portable Tire Inflator,Transport,52,48.00,31.00
30048,New Orleans,Electric Kettle,Kitchen Appliances,140,46.00,31.20
30049,Wichita,Air Fryer XL,Kitchen Appliances,65,132.00,91.00
30050,Cleveland,Blender Pro 500,Kitchen Appliances,92,88.00,56.50
30051,Tampa,Nonstick Cookware Set,Kitchen Appliances,45,155.00,102.00
30052,Bakersfield,Rice Cooker 1.8L,Kitchen Appliances,102,52.50,33.00
30053,Aurora,Wireless Earbuds,Electronics,122,82.00,55.00
30054,Honolulu,Noise Cancelling Headphones,Electronics,58,205.00,140.00
30055,Anaheim,Smartphone Power Bank,Electronics,175,32.00,19.50
30056,Santa Ana,LED Desk Lamp,Electronics,125,23.00,13.50
30057,Corpus Christi,Smart Home Plug,Electronics,225,21.00,12.80
30058,Riverside,Laundry Detergent 5L,Household Essentials,440,18.00,10.20
30059,Lexington,Paper Towel 12-Pack,Household Essentials,455,23.00,13.50
30060,St. Louis,Dish Soap 1L,Household Essentials,492,8.99,4.80
30061,Stockton,All-Purpose Cleaner Spray,Household Essentials,430,7.25,4.10
30062,Pittsburgh,Trash Bags Heavy Duty,Household Essentials,380,14.50,8.40
30063,Saint Paul,Lipstick Matte Rose,Beauty,460,19.00,9.80
30064,Cincinnati,Vitamin C Face Serum,Beauty,345,33.50,19.50
30065,Anchorage,Hair Dryer Ionic,Beauty,108,66.50,45.00
30066,Henderson,Moisturizing Face Cream,Beauty,275,27.50,15.20
30067,Greensboro,Shampoo Repair Care,Beauty,390,14.99,8.50
30068,Plano,Electric Scooter,Transport,18,510.00,360.00
30069,Newark,Bike Helmet Urban,Transport,45,58.00,36.50
30070,Lincoln,Car Dash Camera,Transport,35,112.50,75.00
30071,Orlando,Portable Tire Inflator,Transport,58,47.50,31.50
30072,Irvine,Electric Kettle,Kitchen Appliances,132,44.00,29.50
30073,Toledo,Air Fryer XL,Kitchen Appliances,78,135.00,95.00
30074,Jersey City,Blender Pro 500,Kitchen Appliances,85,92.00,62.00
30075,Chula Vista,Nonstick Cookware Set,Kitchen Appliances,52,158.00,108.00
30076,Durham,Rice Cooker 1.8L,Kitchen Appliances,110,56.50,37.00
30077,Fort Wayne,Wireless Earbuds,Electronics,145,75.00,48.00
30078,St. Petersburg,Noise Cancelling Headphones,Electronics,64,198.00,132.00
30079,Laredo,Smartphone Power Bank,Electronics,190,33.50,21.50
30080,Madison,LED Desk Lamp,Electronics,130,26.00,17.50
30081,Chandler,Smart Home Plug,Electronics,240,19.50,11.50
30082,Buffalo,Laundry Detergent 5L,Household Essentials,415,19.25,12.00
30083,Lubbock,Paper Towel 12-Pack,Household Essentials,465,22.00,13.20
30084,Scottsdale,Dish Soap 1L,Household Essentials,498,8.75,4.90
30085,Reno,All-Purpose Cleaner Spray,Household Essentials,450,7.00,3.80
30086,Glendale,Trash Bags Heavy Duty,Household Essentials,395,14.75,8.80
30087,Gilbert,Lipstick Matte Rose,Beauty,485,18.50,10.50
30088,Winston-Salem,Vitamin C Face Serum,Beauty,360,34.00,21.00
